station_co,site_name,latitude,longitude,state,rivname,basin_name
RJCGTB0814,Wagla,24.71472222,74.29694444,RAJASTHAN,Wagli nadi,
RJJPTB1211,Shikhar Gatta,27.375,76.03888889,RAJASTHAN,Sahibi,
RJPATB1917,Hariom Sagar Bundh,25.88333333,72.99666667,RAJASTHAN,Bandi Nadi,
RJBLTB0535,Pur Bada,25.3,74.58333333,RAJASTHAN,Banas,
RJBUW0801,Abheypura,25.30305556,75.44694444,RAJASTHAN,,
RJSRR3051,Abu Road,24.48333333,72.8,RAJASTHAN,,
RajSW070,Agucha,24.825,74.72722222,RAJASTHAN,,
RJBLW0601,Agucha,25.83333333,74.7,RAJASTHAN,,
RJJLR1851,Ahore,25.38333333,72.76666667,RAJASTHAN,,
RajSW219,Ahu River at Awar,24.12833333,75.90055556,RAJASTHAN,,
RajSW220,Ahu River Near Rajgarh,24.24361111,75.87722222,RAJASTHAN,,
RajSW139,Ajan,27.13083333,77.51416667,RAJASTHAN,,
RJBHW0501,Ajan Bundh,27.15194444,77.475,RAJASTHAN,,
ABCD123,Ajmer,25.26444444,75.87361111,RAJASTHAN,,
RJAJW0001,Ajmer,26.04194444,74.62027778,RAJASTHAN,,
RJJHR1951,Aklera,24.41722222,76.56555556,RAJASTHAN,,
RJTOR3151,Aligarh,25.96916667,76.08583333,RAJASTHAN,,
RajSW236,Alnia,25.0025,75.87944444,RAJASTHAN,,
RJKOW2301,Alnia Dam,25.00277778,75.87888889,RAJASTHAN,,
RJALR0151,Alwar,27.56666667,76.6,RAJASTHAN,,
RJALW0101,Alwar,27.56666667,76.6,RAJASTHAN,,
RajSW180,Amarpura,23.48111111,73.80916667,RAJASTHAN,,
RJJPR1651,Amer,26.98333333,75.86638889,RAJASTHAN,,
RJRAR2751,Amet,25.30833333,73.915,RAJASTHAN,,
RajSW217,Andheri River SH37A Bamora,24.65333333,76.7875,RAJASTHAN,,
RJDHW1201,Angai,26.6,77.45,RAJASTHAN,,
RajSW189,Angore,24.88083333,72.76444444,RAJASTHAN,,
RJSRW3001,Angore,24.8,72.81472222,RAJASTHAN,,
RJBAR0351,Antah,25.15277778,76.29888889,RAJASTHAN,,
RJGAR1451,Anupgarh,29.18527778,73.21416667,RAJASTHAN,,
RajSW129,Anupgarh,29.1875,73.20416667,RAJASTHAN,,
RJAJR0052,Arain,26.44972222,75.04555556,RAJASTHAN,,
RajSW040,Arnod,23.89222222,74.81138889,RAJASTHAN,,
RJPRR2651,Arnod,23.88333333,74.75,RAJASTHAN,,
RJBWR0251,Arthuna,23.5,74.08333333,RAJASTHAN,,
RJBLW0602,Arwar Dam,25.80305556,74.81444444,RAJASTHAN,,
RajSW195,Arwar Dam,25.80444444,74.80805556,RAJASTHAN,,
RJBLR0651,Asind,25.73333333,74.31666667,RAJASTHAN,,
RJJHR1952,Asnawar,24.48388889,76.34888889,RAJASTHAN,,
RJDUR1351,Aspur,23.95,74.08333333,RAJASTHAN,,
RJBAR0352,Atru,24.86944444,76.66555556,RAJASTHAN,,
RJUAW3201,Babalwara,24.09555556,73.46166667,RAJASTHAN,,
RJUAR3251,Badgaon,24.63694444,73.68833333,RAJASTHAN,,
RJCGW0901,Badgaon,24.92527778,75.59333333,RAJASTHAN,,
RajSW037,BADGAON,24.70388889,74.08472222,RAJASTHAN,,
RJBLR0652,Badnor,25.83861111,74.28222222,RAJASTHAN,,
RJBWR0252,Bagidora,23.41666667,74.3,RAJASTHAN,,
RJUAW3202,Bagolia,24.8,73.83333333,RAJASTHAN,,
RJBLR0653,Bagor,25.35777778,74.38305556,RAJASTHAN,,
RajSW052,Bagulia,24.82666667,73.95055556,RAJASTHAN,,
RJALR0152,Bahadurpur,27.66861111,76.73888889,RAJASTHAN,,
RJJHR1953,Bakani,24.30555556,76.23222222,RAJASTHAN,,
RajSW029,BAKANI,24.28722222,76.23611111,RAJASTHAN,,
RJJUR2151,Balesar,26.39472222,72.48861111,RAJASTHAN,,
RJPAR2551,Bali,25.18333333,73.28333333,RAJASTHAN,,
RJBMR0452,Balotra,25.83333333,72.25,RAJASTHAN,,
RJSWR2851,Bamanwas,26.5575,76.56111111,RAJASTHAN,,
RajSW211,Banas River Railway Birdge,26.1325,76.06194444,RAJASTHAN,,
RajSW210,Banas River SH-1,26.19583333,76.19583333,RAJASTHAN,,
