label,lat,long,riverName,stationGuid,wiskiID
Tadcaster,53.891069,-1.275556,River Wharfe,b9933a62-f326-4d77-9206-ebb335161831,F2002
Great Corby,54.889932,-2.830506,River Eden,244c170e-922f-4e33-8b7d-d02dd50888d3,762505
Wye,51.185494,0.9303,Great Stour,54d2b82b-cd8a-4fae-bde4-c11d9fb80af7,654306001
Sewards Bridge,51.086567,-1.182387,"['Cheriton Stream', 'River Itchen']",a3c4766d-b704-4819-913b-0be1d2ed7b3a,152201001
Westmill,52.085246,0.665604,River Stour,bce8bf9b-9b67-4bee-9c90-3c7f65c3444e,36008
Chalford,51.723887,-2.130978,"['River Frome', 'River Frome (severn)']",64e8e5a8-214d-403e-8e00-d788ab94947a,2617
Sugar Fen,52.755415,0.50931,Gaywood River,a91edb17-a1da-42c6-9182-f6f90f5e51dc,33077
Polesworth,52.627223,-1.613106,River Anker,1b5d160c-b736-4a4b-b8e1-9a6a95d92307,4026
Henthorn,53.848003,-2.424337,River Ribble,3d095df8-dd9d-4b1b-8cb3-39982654c9b4,710305
Brampton New Weir,52.330598,-0.228202,Alconbury Brook,c4cbc20d-2913-47d5-8d62-a15e65403434,33080
Boreton Bridge,52.65661,-2.716578,Cound Brook,001fc3f6-5980-42be-b553-6a09c6b69b69,2608
Taw Bridge,50.845636,-3.88636,River Taw,b7db631d-9aa8-49c1-9a61-b2824d0b42c8,SS60F015
Newport Pagnell Total,52.08966,-0.722105,River Great Ouse,35b916f9-d420-425f-807f-f927415db702,33037
Newport Pagnell Main,52.089506,-0.721934,River Great Ouse,35b916f9-d420-425f-807f-f927415db702,33137
Cuckney,53.2366,-1.145421,River Poulter,70a6e855-44fd-424f-b3e1-b9e46da57f1c,4044
Waterhouses,53.048674,-1.877705,River Hamps,9336811c-2a61-4a07-a5a5-fa21be42137c,4041
Middlehill,51.417955,-2.268742,By Brook,65d8a904-f927-415c-b501-a4f8e3325e9e,530450
Bishops Frome,52.137044,-2.488459,"['River Frome', 'River Frome (wye)']",eeeac5e4-672d-4472-893d-6ce4c6bab120,55028
Tinhay,50.647232,-4.267489,River Thrushel,d2cd29dc-cf55-4a2e-9836-7c2ab0f8912c,SX38F071
Riverside Park,50.935768,-1.368447,River Itchen,58bbe65d-7372-4494-b5fc-c23788787ae7,152210001
Jeffy Knotts,54.422024,-2.98839,River Brathay,2e4cd2b4-2d48-4ff5-882c-5ce9638491e9,735123
Ancholme Bishopbridge,53.406524,-0.44965,River Ancholme,a5f8e95f-d24c-4a37-84e1-e346594a47b4,29004
Bowston,54.36176,-2.771951,River Kent,7445ef55-5e25-43d9-9e85-83406670fc65,730120
Sedgwick,54.280023,-2.755861,River Kent,7ffdc72e-bc0c-4172-bfe5-342a11fe53e7,730511
Redbourn Ver,51.794792,-0.393076,River Ver,c18ebd8a-6bed-4687-8b80-0f20e9c2b22b,2815TH
Irwell Vale,53.677543,-2.317469,River Irwell,23d8a627-dd63-47a1-a3ff-435a573da869,690140
Brent Cross,51.577539,-0.217549,River Brent,fff0c2da-54e5-40af-9618-a97848d71c2e,3820TH
Greenham,50.974522,-3.313908,River Tone,02c30d3b-4cab-4632-a4e9-b293706a02fb,520540
Wembley,51.562196,-0.27948,Wealdstone Brook,24e09f89-9598-468e-bdad-12cd705a93a9,3839TH
Pickering Costa Beck,54.242425,-0.813726,Costa Beck,bc20e967-2251-471b-b636-ff517f9e3d39,F2518
Bewdley,52.383072,-2.321186,River Severn,8820d897-a09e-4857-8095-5834fee6962f,2001
Abbey Heath,52.425882,0.720787,"['Little Ouse River', 'River Little Ouse']",86993eff-b766-4bee-8ef3-e0a738008418,33034
Taunton Market,51.020017,-3.100618,River Tone,fad760ef-0c6e-48df-a1c5-01d3f471cbb0,520575
Allbrook,50.987656,-1.344164,The Itchen Navigation,1b3f24d1-2c00-48b9-8eb9-79ed40b1a9e7,152208002
Blyth Ryton,53.37721,-1.053168,River Ryton,ae3ba171-5f03-41cb-a4bf-bb8c568b8c1b,4091
Wilsford,52.975048,-0.499853,River Slea,ac819d1a-0f60-414f-b155-4b6e095ecc8c,30032
Yarkhill,52.081345,-2.563485,"['River Frome', 'River Frome (wye)']",c19762f5-2d97-4f44-99fe-e54536bf018c,55018
Yarkhill,52.081291,-2.563586,,c19762f5-2d97-4f44-99fe-e54536bf018c,459860
Tavistock Abbey Bridge,50.550625,-4.142658,River Tavy,603fcc73-a9aa-4831-bf66-6a1a2b0a04d7,SX47F022
Snainton Ings,54.202353,-0.566177,Brompton Beck,c5b13f08-cdf0-41ab-8bbf-7b8587744459,F2760
Sprint Mill,54.358126,-2.748154,River Sprint,2292891b-9138-44a5-a7e1-d31f4c4b7e73,730203
Middleton,52.255975,1.560484,Minsmere River,c0b28d37-0ec8-4944-a45c-4287cc506a26,35022
Oulton Farrer Lane,53.748009,-1.448796,Oulton Beck,469d01ff-5fcb-4611-a640-812d59f68be6,F1715
Lifton Park,50.63561,-4.279531,River Lyd,4938555f-b1ec-4d7c-8c40-211177987e14,SX38F072
Bowerswain,50.889383,-1.991809,Gussage Stream,7014b422-27a7-42b6-9619-5cd6fe16e5e7,433520
Stifford,51.499854,0.298242,Mar Dyke,94bab207-6492-444c-b80d-0ff2c089432f,37034
Briggswath,54.462097,-0.654478,River Esk,20940d11-3691-429d-b9e1-62646f8e3e71,F2902
Sandon Bridge,51.720483,0.53985,Sandon Brook,4e7e6fd4-ee52-4b9d-aac7-626af67cc5ac,37013
Portwood,53.42334,-2.141961,River Tame,ed9676ff-3b2e-4282-8a67-6882b2222e02,692423
Little Woolden Hall,53.440813,-2.475817,Glaze Brook,4c0ab2d3-ff26-47a2-bdce-abfbb07c6e0a,693032
Addingham,53.939703,-1.862157,River Wharfe,f5b37267-c78d-4e3e-9fca-0a380d46ffc8,F1903
Two Waters Road,51.741057,-0.47337,River Bulbourne,c357b418-078d-4ac2-9cf3-27eee4c4ab78,2846TH
Islip Weir,51.819748,-1.242338,"['River Cherwell', 'River Ray']",34e23121-3c10-454d-80dc-45d824b9e2cf,1489TH
Bovey Parke,50.595603,-3.682853,River Bovey,e3cbc7c6-f62f-4848-9b2c-75e0da09b9a3,SX87U053
King Street,52.680941,-0.36128,Greatford Cut,54b8c99b-9301-4361-9edb-17abdf585144,31202
Crayford,51.44984,0.172527,River Cray,d7ba84de-0fa2-4577-9ef4-978335a86360,451220001
De Lank,50.55885,-4.637771,De Lank River,724ddcb2-fed1-4e25-b7b7-055348b41fc2,SX17F063
De Lank,50.55885,-4.637771,,724ddcb2-fed1-4e25-b7b7-055348b41fc2,384343
Wards Bridge,52.266301,-2.191539,Hadley Brook,47c4f71d-7016-4adb-b0e6-e84178f82a43,2193
Eastern Moor Bridge,51.194815,-2.905079,Cripps River,4cdef73e-b55b-4614-bee7-278185b96fae,521189
Calder Hall,54.426631,-3.489083,River Calder,12ede3c0-861a-45f9-88a8-6170ff13a6ae,743509
Calder Hall,54.4266,-3.488681,,12ede3c0-861a-45f9-88a8-6170ff13a6ae,591419
Ingworth,52.819451,1.251856,River Bure,895e30b6-b92a-4ef1-8735-e7dbd2dd573f,34003
Alfoldean,51.086792,-0.406225,River Arun,9c263b41-8984-424c-aa50-27647a0ee184,254250008
Ebley Mill,51.740081,-2.247391,"['River Frome', 'River Frome (severn)']",f387d5f1-d06d-48fd-92a1-ede9bdebdc10,2027
South House,50.790604,-2.41643,River Piddle,db5a4b77-c057-48a5-a174-f99045ad9bf2,444110
Heaton Mill,55.674765,-2.160907,River Till,20152e19-e61b-40ff-ae0a-bfd520b41ad1,21038
Holme House Farm,53.825908,-0.816848,River Foulness,bce9c8be-26c4-40b1-b852-715b016440e5,F3412
